code10,univtxt,univsearch
1005550010,"旭川医科大学 医 前 ","旭川医大"
1005550020,"旭川医科大学 医 後 ","旭川医大"
1005550110,"旭川医科大学 医 医 前 ","旭川医大"
1005550210,"旭川医科大学 医 看護 前 ","旭川医大"
1005550220,"旭川医科大学 医 看護 後 ","旭川医大"
1010200010,"小樽商科大学 商 前 ","小樽商大"
1010200020,"小樽商科大学 商 後 ","小樽商大"
1010240010,"小樽商科大学 商夜 前 ","小樽商大"
1015740010,"帯広畜産大学 畜産 前 ","帯広畜産大"
1015740020,"帯広畜産大学 畜産 後 ","帯広畜産大"
1015740510,"帯広畜産大学 畜産 畜産科学 前 ","帯広畜産大"
1015740520,"帯広畜産大学 畜産 畜産科学 後 ","帯広畜産大"
1015740610,"帯広畜産大学 畜産 共同獣医学 前 ","帯広畜産大"
1015740620,"帯広畜産大学 畜産 共同獣医学 後 ","帯広畜産大"
1020460010,"北見工業大学 工 前 ","北見工大"
1020460020,"北見工業大学 工 後 ","北見工大"
1020461210,"北見工業大学 工 先進工 前 ","北見工大"
1020461220,"北見工業大学 工 先進工 後 ","北見工大"
1025010010,"北海道大学 文 前 ","北大"
1025010020,"北海道大学 文 後 ","北大"
1025010110,"北海道大学 文 人文科学 前 ","北大"
1025010120,"北海道大学 文 人文科学 後 ","北大"
1025120010,"北海道大学 法 前 ","北大"
1025120020,"北海道大学 法 後 ","北大"
1025120110,"北海道大学 法 法学 前 ","北大"
1025120120,"北海道大学 法 法学 後 ","北大"
1025180010,"北海道大学 経済 前 ","北大"
1025180020,"北海道大学 経済 後 ","北大"
1025300010,"北海道大学 教育 前 ","北大"
1025300020,"北海道大学 教育 後 ","北大"
1025300110,"北海道大学 教育 教育 前 ","北大"
1025300120,"北海道大学 教育 教育 後 ","北大"
1025420020,"北海道大学 理 後 ","北大"
1025420120,"北海道大学 理 化学 後 ","北大"
1025420320,"北海道大学 理 数学 後 ","北大"
1025420720,"北海道大学 理 地球惑星科学 後 ","北大"
1025420820,"北海道大学 理 物理 後 ","北大"
1025421320,"北海道大学 理 生物／生物学 後 ","北大"
1025421420,"北海道大学 理 生物／高分子 後 ","北大"
1025460020,"北海道大学 工 後 ","北大"
1025461120,"北海道大学 工 環境社会工 後 ","北大"
1025461220,"北海道大学 工 情報エレクト 後 ","北大"
1025461820,"北海道大学 工 応用理工系 後 ","北大"
1025461920,"北海道大学 工 機械知能工 後 ","北大"
1025550010,"北海道大学 医 前 ","北大"
1025550110,"北海道大学 医 医 前 ","北大"
1025550310,"北海道大学 医 保健／看護学 前 ","北大"
1025550410,"北海道大学 医 保健／放射線 前 ","北大"
1025550510,"北海道大学 医 保健／検査技 前 ","北大"
1025550610,"北海道大学 医 保健／理学療 前 ","北大"
1025550710,"北海道大学 医 保健／作業療 前 ","北大"
1025580010,"北海道大学 歯 前 ","北大"
1025580110,"北海道大学 歯 歯 前 ","北大"
1025610020,"北海道大学 薬 後 ","北大"
1025720020,"北海道大学 農 後 ","北大"
1025730010,"北海道大学 水産 前 ","北大"
1025730020,"北海道大学 水産 後 ","北大"
1025740010,"北海道大学 獣医 前 ","北大"
1025740020,"北海道大学 獣医 後 ","北大"
1025740210,"北海道大学 獣医 共同獣医学 前 ","北大"
1025740220,"北海道大学 獣医 共同獣医学 後 ","北大"
1025910010,"北海道大学 総合文系 前 ","北大"
1025920010,"北海道大学 総合理系 前 ","北大"
1025920011,"北海道大学 総合理系 前 数学","北大"
1025920012,"北海道大学 総合理系 前 物理","北大"
1025920013,"北海道大学 総合理系 前 化学","北大"
1025920014,"北海道大学 総合理系 前 生物","北大"
1025920015,"北海道大学 総合理系 前 総合","北大"
1030300010,"北海道教育大学旭川校 教育 前 ","北教大旭川校"
1030300020,"北海道教育大学旭川校 教育 後 ","北教大旭川校"
1030301710,"北海道教育大学旭川校 教育 教員／教育発 前 ","北教大旭川校"
1030301720,"北海道教育大学旭川校 教育 教員／教育発 後 ","北教大旭川校"
1030301910,"北海道教育大学旭川校 教育 教員／国語 前 ","北教大旭川校"
1030301920,"北海道教育大学旭川校 教育 教員／国語 後 ","北教大旭川校"
1030302010,"北海道教育大学旭川校 教育 教員／英語 前 ","北教大旭川校"
1030302020,"北海道教育大学旭川校 教育 教員／英語 後 ","北教大旭川校"
1030302710,"北海道教育大学旭川校 教育 教員／社会 前 ","北教大旭川校"
1030302720,"北海道教育大学旭川校 教育 教員／社会 後 ","北教大旭川校"
1030302810,"北海道教育大学旭川校 教育 教員／数学 前 ","北教大旭川校"
1030302820,"北海道教育大学旭川校 教育 教員／数学 後 ","北教大旭川校"
1030302910,"北海道教育大学旭川校 教育 教員／理科 前 ","北教大旭川校"
1030302920,"北海道教育大学旭川校 教育 教員／理科 後 ","北教大旭川校"
1030303010,"北海道教育大学旭川校 教育 教員／生活技 前 ","北教大旭川校"
1030303020,"北海道教育大学旭川校 教育 教員／生活技 後 ","北教大旭川校"
1030303210,"北海道教育大学旭川校 教育 教員／音楽 前 ","北教大旭川校"
1030303310,"北海道教育大学旭川校 教育 教員／美術 前 ","北教大旭川校"
1030303410,"北海道教育大学旭川校 教育 教員／保健体 前 ","北教大旭川校"
